Date,Ticker,Open,Close,Volume,Sector,Industry
2020-03-27,AAPL,63.19,61.94,204216800,Technology,Consumer Electronics
2020-03-30,AAPL,62.69,63.7,167976400,Technology,Consumer Electronics
2020-03-31,AAPL,63.9,63.57,197002000,Technology,Consumer Electronics
2020-04-01,AAPL,61.62,60.23,176218400,Technology,Consumer Electronics
2020-04-02,AAPL,60.08,61.23,165934000,Technology,Consumer Electronics
2020-04-03,AAPL,60.7,60.35,129880000,Technology,Consumer Electronics
2020-04-06,AAPL,62.72,65.62,201820400,Technology,Consumer Electronics
2020-04-07,AAPL,67.7,64.86,202887200,Technology,Consumer Electronics
2020-04-08,AAPL,65.68,66.52,168895200,Technology,Consumer Electronics
2020-04-09,AAPL,67.18,67.0,162116400,Technology,Consumer Electronics
2020-04-13,AAPL,67.08,68.31,131022800,Technology,Consumer Electronics
2020-04-14,AAPL,70.0,71.76,194994800,Technology,Consumer Electronics
2020-04-15,AAPL,70.6,71.11,131154400,Technology,Consumer Electronics
2020-04-16,AAPL,71.85,71.67,157125200,Technology,Consumer Electronics
2020-04-17,AAPL,71.17,70.7,215250000,Technology,Consumer Electronics
2020-04-20,AAPL,69.49,69.23,130015200,Technology,Consumer Electronics
2020-04-21,AAPL,69.07,67.09,180991600,Technology,Consumer Electronics
2020-04-22,AAPL,68.4,69.03,117057200,Technology,Consumer Electronics
2020-04-23,AAPL,68.97,68.76,124814400,Technology,Consumer Electronics
2020-04-24,AAPL,69.3,70.74,126508800,Technology,Consumer Electronics
2020-04-27,AAPL,70.45,70.79,117087600,Technology,Consumer Electronics
2020-04-28,AAPL,71.27,69.64,112004800,Technology,Consumer Electronics
2020-04-29,AAPL,71.18,71.93,137280800,Technology,Consumer Electronics
2020-04-30,AAPL,72.49,73.45,183064000,Technology,Consumer Electronics
2020-05-01,AAPL,71.56,72.27,240616800,Technology,Consumer Electronics
2020-05-04,AAPL,72.29,73.29,133568000,Technology,Consumer Electronics
2020-05-05,AAPL,73.76,74.39,147751200,Technology,Consumer Electronics
2020-05-06,AAPL,75.11,75.16,142333600,Technology,Consumer Electronics
2020-05-07,AAPL,75.81,75.93,115215200,Technology,Consumer Electronics
2020-05-08,AAPL,76.41,77.53,134048000,Technology,Consumer Electronics
2020-05-11,AAPL,77.03,78.75,145946400,Technology,Consumer Electronics
2020-05-12,AAPL,79.46,77.85,162301200,Technology,Consumer Electronics
2020-05-13,AAPL,78.04,76.91,200622400,Technology,Consumer Electronics
2020-05-14,AAPL,76.13,77.39,158929200,Technology,Consumer Electronics
2020-05-15,AAPL,75.09,76.93,166348400,Technology,Consumer Electronics
2020-05-18,AAPL,78.29,78.74,135372400,Technology,Consumer Electronics
2020-05-19,AAPL,78.76,78.29,101729600,Technology,Consumer Electronics
2020-05-20,AAPL,79.17,79.81,111504800,Technology,Consumer Electronics
2020-05-21,AAPL,79.67,79.21,102688800,Technology,Consumer Electronics
2020-05-22,AAPL,78.94,79.72,81803200,Technology,Consumer Electronics
2020-05-26,AAPL,80.88,79.18,125522000,Technology,Consumer Electronics
2020-05-27,AAPL,79.04,79.53,112945200,Technology,Consumer Electronics
